03/04/2022 20:50,
0,
32,
,
wavenumber / cm-1,Absorbance
3999.881,-0.000444597
3999.76,-0.000441452
3999.639,-0.00045221
3999.519,-0.000471076
3999.398,-0.000488816
3999.278,-0.000496098
3999.157,-0.000485043
3999.037,-0.000452243
3998.916,-0.000399711
3998.796,-0.00033426
3998.675,-0.000266184
3998.555,-0.000206376
3998.434,-0.000165341
3998.314,-0.000149541
3998.193,-0.000162062
3998.073,-0.000200514
3997.952,-0.000259197
3997.832,-0.00032936
3997.711,-0.000400439
3997.59,-0.000461974
3997.47,-0.000505629
3997.349,-0.000524791
3997.229,-0.000517246
3997.108,-0.000483686
3996.988,-0.000428212
3996.867,-0.000357138
3996.747,-0.000278402
3996.626,-0.000200481
3996.506,-0.000131224
3996.385,-7.8123E-05
3996.265,-4.71141E-05
3996.144,-4.25089E-05
3996.024,-6.53354E-05
3995.903,-0.000113734
3995.782,-0.000182133
3995.662,-0.000261316
3995.542,-0.000340617
3995.421,-0.000410304
3995.3,-0.000462901
3995.18,-0.000495734
3995.059,-0.000511454
3994.939,-0.000517477
3994.818,-0.000522905
3994.698,-0.000535447
3994.577,-0.000559406
3994.457,-0.000593092
3994.336,-0.00062972
3994.216,-0.000658669
3994.095,-0.000669719
3993.975,-0.000655162
3993.854,-0.000612945
3993.733,-0.000547129
3993.613,-0.000467005
3993.492,-0.000384913
3993.372,-0.000312706
3993.251,-0.000259362
3993.131,-0.000229591
3993.01,-0.000223399
3992.89,-0.00023648
3992.769,-0.000261879
3992.649,-0.000293204
3992.528,-0.000324327
3992.408,-0.000351178
3992.287,-0.00037134
3992.167,-0.000383821
3992.046,-0.000389415
3991.926,-0.000389515
3991.805,-0.000386668
3991.685,-0.000384119
3991.564,-0.00038584
3991.443,-0.000395573
3991.323,-0.000415534
3991.202,-0.000445689
3991.082,-0.000482727
3990.961,-0.000520158
3990.841,-0.000550769
3990.72,-0.000566388
3990.6,-0.000562186
3990.479,-0.000537003
3990.359,-0.000493781
3990.238,-0.00043897
3990.118,-0.000380477
3989.997,-0.000326645
3989.876,-0.000283502
3989.756,-0.000255421
3989.635,-0.000244825
3989.515,-0.00025158
3989.395,-0.000274528
3989.274,-0.000310223
3989.153,-0.000353628
3989.033,-0.000397327
3988.912,-0.000432581
3988.792,-0.000451846
3988.671,-0.000450091
3988.551,-0.000427583
3988.43,-0.000390276
3988.31,-0.000348331
3988.189,-0.00031413
3988.069,-0.000297707
3987.948,-0.000304097
3987.828,-0.000332042
3987.707,-0.000374551
3987.586,-0.000420963
3987.466,-0.000460418
3987.345,-0.000484878
3987.225,-0.000490107
3987.104,-0.000475875
3986.984,-0.00044516
3986.863,-0.000402591
3986.743,-0.000353926
3986.622,-0.000305388
3986.502,-0.000264362
3986.381,-0.000238202
3986.261,-0.000233069
3986.14,-0.000252044
3986.02,-0.000293766
3985.899,-0.000350715
3985.779,-0.000411396
3985.658,-0.000463166
3985.538,-0.000496065
3985.417,-0.000505563
3985.296,-0.000494674
3985.176,-0.000472433
3985.055,-0.000450654
3984.935,-0.000439102
3984.814,-0.000443604
3984.694,-0.000463232
3984.573,-0.000492225
3984.453,-0.000522905
3984.332,-0.000547559
3984.212,-0.000562649
3984.091,-0.00056748
3983.971,-0.000564039
3983.85,-0.000555898
3983.729,-0.000544813
3983.609,-0.00053184
3983.489,-0.000517113
3983.368,-0.000500036
3983.248,-0.00048084
3983.127,-0.000460783
3983.006,-0.000441386
3982.886,-0.000424438
3982.765,-0.00041037
3982.645,-0.00039928
3982.524,-0.000390078
3982.404,-0.000381768
3982.283,-0.000373591
3982.163,-0.000364686
3982.042,-0.000354654
3981.922,-0.000342703
3981.801,-0.000328367
3981.681,-0.000311249
3981.56,-0.000292376
3981.439,-0.000274263
3981.319,-0.000260488
3981.198,-0.000254958
3981.078,-0.000259826
3980.958,-0.00027519
3980.837,-0.00029774
3980.716,-0.000322374
3980.596,-0.000342901
3980.475,-0.000354025
3980.355,-0.000352734
3980.234,-0.000338763
3980.114,-0.000313467
3979.993,-0.000278866
3979.873,-0.00023691
3979.752,-0.000188889
3979.632,-0.00013659
3979.511,-8.29928E-05
3979.391,-3.3431E-05
3979.27,5.63282E-06
3979.149,2.61104E-05
3979.029,2.22998E-05
3978.908,-8.28343E-06
3978.788,-6.22875E-05
3978.667,-0.000132218
3978.547,-0.000206873
3978.426,-0.000274363
3978.306,-0.000326049
3978.185,-0.000357965
3978.065,-0.000371837
3977.944,-0.000373128
3977.824,-0.000370281
3977.703,-0.000370546
3977.583,-0.000377564
3977.462,-0.000391004
3977.342,-0.000405702
3977.221,-0.000415104
3977.101,-0.00041325
3976.98,-0.00039736
3976.859,-0.000369751
3976.739,-0.000336809
3976.618,-0.000307872
3976.498,-0.000290753
3976.377,-0.000290091
3976.257,-0.000304428
3976.136,-0.000328102
3976.016,-0.000352072
3975.895,-0.000367533
3975.775,-0.000370181
3975.654,-0.000360448
3975.534,-0.000343266
3975.413,-0.000325718
3975.292,-0.000314262
3975.172,-0.000311249
3975.052,-0.000315388
3974.931,-0.000321944
3974.811,-0.000325619
3974.69,-0.000323301
3974.569,-0.000315322
3974.449,-0.000305355
3974.328,-0.000298568
3974.208,-0.000299925
3974.087,-0.000312077
3973.967,-0.000334889
3973.846,-0.000366142
3973.726,-0.000402591
3973.605,-0.00044185
3973.485,-0.00048137
3973.364,-0.000518404
3973.244,-0.000548916
3973.123,-0.000566984
3973.002,-0.000566885
3972.882,-0.00054372
3972.761,-0.000497653
3972.641,-0.000434104
3972.52,-0.000364951
3972.4,-0.00030562
3972.279,-0.00026923
3972.159,-0.000264164
3972.038,-0.000290389
3971.918,-0.000338299
3971.797,-0.000391799
3971.677,-0.000432747
3971.556,-0.000446781
3971.436,-0.000426027
3971.315,-0.000372664
3971.195,-0.000296349
3971.074,-0.000214026
3970.954,-0.000143447
3970.833,-0.000100053
3970.712,-9.41236E-05
3970.592,-0.000128177
3970.471,-0.000196805
3970.351,-0.000287608
3970.23,-0.00038531
3970.11,-0.000473161
3969.989,-0.000537433
3969.869,-0.000570723
3969.748,-0.000572444
3969.628,-0.000549015
3969.507,-0.000511255
3969.387,-0.000471639
3969.266,-0.00044036
3969.146,-0.000422088
3969.025,-0.000416031
3968.905,-0.000416097
3968.784,-0.000415004
3968.663,-0.000405769
3968.543,-0.000385642
3968.422,-0.000356575
3968.302,-0.000325056
3968.181,-0.00029966
3968.061,-0.000288005
3967.94,-0.000294892
3967.82,-0.000319725
3967.699,-0.000358429
3967.579,-0.00040269
3967.458,-0.000443935
3967.338,-0.000474452
3967.217,-0.000489114
3967.097,-0.000485441
3966.976,-0.000463563
3966.855,-0.000425034
3966.735,-0.0003723
3966.615,-0.000308501
3966.494,-0.000237771
3966.373,-0.000166765
3966.253,-0.000104062
3966.132,-6.05317E-05
3966.012,-4.54575E-05
3965.891,-6.55011E-05
3965.771,-0.000121088
3965.65,-0.000205581
3965.53,-0.000305984
3965.409,-0.000405537
3965.289,-0.000490107
3965.168,-0.000550207
3965.048,-0.000585084
3964.927,-0.000600967
3964.806,-0.000609636
3964.686,-0.000622275
3964.565,-0.000646196
3964.445,-0.000681926
3964.324,-0.000724137
3964.204,-0.000764326
3964.083,-0.000793465
3963.963,-0.000805966
3963.842,-0.000799749
3963.722,-0.000776034
3963.601,-0.000736806
3963.481,-0.000683415
3963.36,-0.000616253
3963.24,-0.000536275
3963.119,-0.00044698
3962.999,-0.000356442
3962.878,-0.000275555
3962.758,-0.000217239
3962.637,-0.000191936
3962.516,-0.000203429
3962.396,-0.000247772
3962.275,-0.000313302
3962.155,-0.000384913
3962.034,-0.000447907
3961.914,-0.000491861
3961.793,-0.000514035
3961.673,-0.000518073
3961.552,-0.000511884
3961.432,-0.00050371
3961.311,-0.000500334
3961.191,-0.00050553
3961.07,-0.000518867
3960.949,-0.000537565
3960.829,-0.000556362
3960.708,-0.000569135
3960.588,-0.000569002
3960.468,-0.000549942
3960.347,-0.000508211
3960.226,-0.000445226
3960.106,-0.000367698
3959.985,-0.000288005
3959.865,-0.000222504
3959.744,-0.000185577
3959.624,-0.00018561
3959.503,-0.000221875
3959.383,-0.000283138
3959.262,-0.000352006
3959.142,-0.00040845
3959.021,-0.000438242
3958.901,-0.000435296
3958.78,-0.000404114
3958.659,-0.000356244
3958.539,-0.000306448
3958.418,-0.000267674
3958.298,-0.000246977
3958.177,-0.000245586
3958.057,-0.000260223
3957.936,-0.000286051
3957.816,-0.000318169
3957.695,-0.000353264
3957.575,-0.000388886
3957.454,-0.000420996
3957.334,-0.00044506
3957.213,-0.000455089
3957.093,-0.000446914
3956.972,-0.000421128
3956.852,-0.000383258
3956.731,-0.000344755
3956.611,-0.000319427
3956.49,-0.000317871
3956.369,-0.000344358
3956.249,-0.000393752
3956.128,-0.000453037
3956.008,-0.000503908
3955.887,-0.000529656
3955.767,-0.000520654
3955.646,-0.000476968
3955.526,-0.000408616
3955.405,-0.000331843
3955.285,-0.000265654
3955.164,-0.000224525
3955.044,-0.000215219
3954.923,-0.000235917
3954.802,-0.000278402
3954.682,-0.000331015
3954.562,-0.000382331
3954.441,-0.000425167
3954.321,-0.000456811
3954.2,-0.000478424
3954.079,-0.000492887
3953.959,-0.000502816
3953.838,-0.000508376
3953.718,-0.000508244
3953.597,-0.000499837
3953.477,-0.000481899
3953.356,-0.000455983
3953.236,-0.000426756
3953.115,-0.000401631
3952.995,-0.000387098
3952.874,-0.000387197
3952.754,-0.000401267
3952.633,-0.000424174
3952.512,-0.000447013
3952.392,-0.000460584
3952.271,-0.000459293
3952.151,-0.00044185
3952.031,-0.000412786
3951.91,-0.000380312
3951.789,-0.000353827
3951.669,-0.000340253
3951.548,-0.000342074
3951.428,-0.000356111
3951.307,-0.000375743
3951.187,-0.000393123
3951.066,-0.000401101
3950.946,-0.000396798
3950.825,-0.000380808
3950.705,-0.000358065
3950.584,-0.000334426
3950.464,-0.000315653
3950.343,-0.00030509
3950.222,-0.000303634
3950.102,-0.000308236
3949.981,-0.000314295
3949.861,-0.000316514
3949.74,-0.000310819
3949.62,-0.000295455
3949.499,-0.000271714
3949.379,-0.000243765
3949.258,-0.000217172
3949.138,-0.000197865
3949.017,-0.000190214
3948.897,-0.000195844
3948.776,-0.000212569
3948.656,-0.000235287
3948.535,-0.000256713
3948.415,-0.000270886
3948.294,-0.0002738
3948.174,-0.00026625
3948.053,-0.000253004
3947.932,-0.000243301
3947.812,-0.000246216
3947.691,-0.00026923
3947.571,-0.000314924
3947.45,-0.000380312
3947.33,-0.000456711
3947.209,-0.000531741
3947.089,-0.000593952
3946.968,-0.000633591
3946.848,-0.000645898
3946.727,-0.000630944
3946.607,-0.000592959
3946.486,-0.000538194
3946.365,-0.00047283
3946.245,-0.000402558
3946.125,-0.000331744
3946.004,-0.000263733
3945.884,-0.000202899
3945.763,-0.000153384
3945.642,-0.000120459
3945.522,-0.000108931
3945.401,-0.000121651
3945.281,-0.000158948
3945.16,-0.000217371
3945.04,-0.000290124
3944.919,-0.000369188
3944.799,-0.000445027
3944.678,-0.000509501
3944.558,-0.000556957
3944.437,-0.000584224
3944.317,-0.00059114
3944.196,-0.000580352
3944.075,-0.000556924
3943.955,-0.000527041
3943.834,-0.000498183
3943.714,-0.000477067
3943.593,-0.000468428
3943.473,-0.000473856
3943.352,-0.000491663
3943.232,-0.000516319
3943.111,-0.000540477
3942.991,-0.000555634
3942.87,-0.000555998
3942.75,-0.000538723
3942.629,-0.000505629
3942.509,-0.000461709
3942.388,-0.00041325
3942.268,-0.000366606
3942.147,-0.000324526
3942.027,-0.000288005
3941.906,-0.000255521
3941.785,-0.000225154
3941.665,-0.000196341
3941.544,-0.000169514
3941.424,-0.000147488
3941.303,-0.00013351
3941.183,-0.000130297
3941.062,-0.000138942
3940.942,-0.000158385
3940.821,-0.00018614
3940.701,-0.000218795
3940.58,-0.000252772
3940.46,-0.000285886
3940.339,-0.000317242
3940.219,-0.000346676
3940.098,-0.000375147
3939.978,-0.000402558
3939.857,-0.000428311
3939.736,-0.000450489
3939.616,-0.00046535
3939.495,-0.000468395
3939.375,-0.000455454
3939.254,-0.000424074
3939.134,-0.000374551
3939.013,-0.000311249
3938.893,-0.00024201
3938.772,-0.00017796
3938.652,-0.000128806
3938.531,-0.000102041
3938.411,-9.92251E-05
3938.29,-0.000116252
3938.17,-0.000142817
3938.049,-0.000166268
3937.928,-0.000176602
3937.808,-0.000167593
3937.688,-0.000140333
3937.567,-0.00010224
3937.446,-6.54348E-05
3937.326,-4.19457E-05
3937.205,-4.0521E-05
3937.085,-6.34139E-05
3936.964,-0.00010691
3936.844,-0.000163353
3936.723,-0.000222471
3936.603,-0.000276018
3936.482,-0.000319427
3936.362,-0.000352469
3936.241,-0.000378921
3936.121,-0.000403418
3936,-0.000431092
3935.88,-0.000464258
3935.759,-0.000501989
3935.638,-0.000540643
3935.518,-0.000574198
3935.397,-0.000596202
3935.277,-0.000600669
3935.156,-0.000583794
3935.036,-0.000545276
