23/03/2022 14:29,
0,
33,
,
wavenumber / cm-1,Intensity
3999.881,10.90961
3999.76,10.91118
3999.639,10.9121
3999.519,10.91239
3999.398,10.91227
3999.278,10.91203
3999.157,10.91203
3999.037,10.9125
3998.916,10.91358
3998.796,10.9152
3998.675,10.9172
3998.555,10.91938
3998.434,10.92155
3998.314,10.92361
3998.193,10.92554
3998.073,10.92734
3997.952,10.92903
3997.832,10.93061
3997.711,10.93206
3997.59,10.93333
3997.47,10.93442
3997.349,10.93537
3997.229,10.9362
3997.108,10.93699
3996.988,10.93779
3996.867,10.93867
3996.747,10.93966
3996.626,10.94085
3996.506,10.94223
3996.385,10.94379
3996.265,10.94535
3996.144,10.94665
3996.024,10.94729
3995.903,10.94683
3995.782,10.94497
3995.662,10.94159
3995.542,10.93694
3995.421,10.93152
3995.3,10.9261
3995.18,10.92152
3995.059,10.91844
3994.939,10.9173
3994.818,10.91818
3994.698,10.92086
3994.577,10.92487
3994.457,10.92968
3994.336,10.9348
3994.216,10.93983
3994.095,10.94456
3993.975,10.94888
3993.854,10.95278
3993.733,10.9563
3993.613,10.95945
3993.492,10.96225
3993.372,10.96468
3993.251,10.96674
3993.131,10.96842
3993.01,10.96978
3992.89,10.97088
3992.769,10.97187
3992.649,10.97285
3992.528,10.97396
3992.408,10.97524
3992.287,10.97671
3992.167,10.9783
3992.046,10.9799
3991.926,10.98137
3991.805,10.98252
3991.685,10.98319
3991.564,10.98319
3991.443,10.98238
3991.323,10.98066
3991.202,10.97803
3991.082,10.97464
3990.961,10.9708
3990.841,10.96695
3990.72,10.96359
3990.6,10.9612
3990.479,10.96008
3990.359,10.96038
3990.238,10.96201
3990.118,10.96477
3989.997,10.96834
3989.876,10.97245
3989.756,10.97687
3989.635,10.98144
3989.515,10.98601
3989.395,10.99047
3989.274,10.99467
3989.153,10.99853
3989.033,11.00201
3988.912,11.00517
3988.792,11.00817
3988.671,11.01123
3988.551,11.01453
3988.43,11.01812
3988.31,11.0219
3988.189,11.02565
3988.069,11.02908
3987.948,11.03199
3987.828,11.03427
3987.707,11.03602
3987.586,11.03744
3987.466,11.03876
3987.345,11.04019
3987.225,11.04182
3987.104,11.04363
3986.984,11.04552
3986.863,11.04739
3986.743,11.04916
3986.622,11.05081
3986.502,11.05234
3986.381,11.05377
3986.261,11.05511
3986.14,11.05634
3986.02,11.05746
3985.899,11.05846
3985.779,11.0594
3985.658,11.06035
3985.538,11.06135
3985.417,11.06244
3985.296,11.06355
3985.176,11.06461
3985.055,11.0655
3984.935,11.06618
3984.814,11.06667
3984.694,11.06708
3984.573,11.06758
3984.453,11.06837
3984.332,11.06957
3984.212,11.07127
3984.091,11.07341
3983.971,11.07587
3983.85,11.0785
3983.729,11.0811
3983.609,11.0835
3983.489,11.08554
3983.368,11.08711
3983.248,11.08807
3983.127,11.08834
3983.006,11.08785
3982.886,11.08662
3982.765,11.08476
3982.645,11.08254
3982.524,11.08032
3982.404,11.07856
3982.283,11.07773
3982.163,11.07817
3982.042,11.08003
3981.922,11.08318
3981.801,11.08724
3981.681,11.09166
3981.56,11.09582
3981.439,11.09923
3981.319,11.10164
3981.198,11.10306
3981.078,11.10373
3980.958,11.10401
3980.837,11.10425
3980.716,11.10465
3980.596,11.1053
3980.475,11.10615
3980.355,11.10711
3980.234,11.10814
3980.114,11.10931
3979.993,11.11074
3979.873,11.11255
3979.752,11.11478
3979.632,11.11734
3979.511,11.12004
3979.391,11.12262
3979.27,11.12489
3979.149,11.12679
3979.029,11.12839
3978.908,11.12992
3978.788,11.13159
3978.667,11.13361
3978.547,11.13599
3978.426,11.13867
3978.306,11.14149
3978.185,11.14429
3978.065,11.14697
3977.944,11.14954
3977.824,11.15205
3977.703,11.15453
3977.583,11.15694
3977.462,11.15906
3977.342,11.1605
3977.221,11.16084
3977.101,11.15965
3976.98,11.15668
