03/04/2022 20:28,
20,
31,
,
wavenumber / cm-1,Absorbance
3999.881,-0.009621155
3999.76,-0.009583528
3999.639,-0.00956003
3999.519,-0.009556043
3999.398,-0.009573643
3999.278,-0.009611952
3999.157,-0.009666266
3999.037,-0.009727571
3998.916,-0.009785336
3998.796,-0.009826283
3998.675,-0.009839046
3998.555,-0.009817925
3998.434,-0.009764247
3998.314,-0.009687522
3998.193,-0.009604077
3998.073,-0.009533094
3997.952,-0.009489332
3997.832,-0.009480353
3997.711,-0.009503499
3997.59,-0.009547227
3997.47,-0.009596654
3997.349,-0.009637813
3997.229,-0.009662733
3997.108,-0.009671839
3996.988,-0.00967239
3996.867,-0.009673718
3996.747,-0.009685417
3996.626,-0.009712407
3996.506,-0.009754916
3996.385,-0.009808337
3996.265,-0.009866157
3996.144,-0.009921183
3996.024,-0.00996597
3995.903,-0.00999424
3995.782,-0.01000042
3995.662,-0.009980672
3995.542,-0.009935044
3995.421,-0.009866966
3995.3,-0.009785661
3995.18,-0.009703691
3995.059,-0.009632401
3994.939,-0.009580903
3994.818,-0.009550825
3994.698,-0.009537405
3994.577,-0.009530663
3994.457,-0.00952123
3994.336,-0.009503499
3994.216,-0.009478019
3994.095,-0.009451434
3993.975,-0.009431981
3993.854,-0.009425853
3993.733,-0.009434251
3993.613,-0.009451953
3993.492,-0.00947027
3993.372,-0.009481876
3993.251,-0.009483919
3993.131,-0.00948032
3993.01,-0.009480158
3992.89,-0.009492704
3992.769,-0.00952431
3992.649,-0.009574324
3992.528,-0.009635091
3992.408,-0.009694165
3992.287,-0.0097416
3992.167,-0.009770305
3992.046,-0.009780477
3991.926,-0.009777497
3991.805,-0.009768846
3991.685,-0.009760682
3991.564,-0.009755466
3991.443,-0.009750801
3991.323,-0.009742313
3991.202,-0.009726502
3991.082,-0.009701747
3990.961,-0.009670122
3990.841,-0.009635739
3990.72,-0.009603039
3990.6,-0.009574194
3990.479,-0.009549204
3990.359,-0.009526158
3990.238,-0.009503726
3990.118,-0.00948233
3989.997,-0.009464694
3989.876,-0.009454417
3989.756,-0.009454514
3989.635,-0.009464337
3989.515,-0.00947951
3989.395,-0.009492152
3989.274,-0.009493417
3989.153,-0.009477207
3989.033,-0.009441448
3988.912,-0.009389571
3988.792,-0.009328932
3988.671,-0.009268672
3988.551,-0.009218104
3988.43,-0.00918281
3988.31,-0.009167238
3988.189,-0.009173499
3988.069,-0.009202533
3987.948,-0.00925599
3987.828,-0.009333503
3987.707,-0.009432175
3987.586,-0.009545541
3987.466,-0.009662312
3987.345,-0.009768425
3987.225,-0.009849314
3987.104,-0.009894561
3986.984,-0.00989997
3986.863,-0.009870432
3986.743,-0.009817893
3986.622,-0.009758058
3986.502,-0.009708228
3986.381,-0.009681365
3986.261,-0.00968344
3986.14,-0.009713606
3986.02,-0.0097647
3985.899,-0.009825635
3985.779,-0.009883485
3985.658,-0.009928049
3985.538,-0.009951592
3985.417,-0.009950945
3985.296,-0.009927467
3985.176,-0.009885849
3985.055,-0.009833182
3984.935,-0.009776784
3984.814,-0.009723586
3984.694,-0.009678158
3984.573,-0.009644003
3984.453,-0.009622355
3984.332,-0.009613928
3984.212,-0.009619114
3984.091,-0.009637813
3983.971,-0.009669052
3983.85,-0.009710528
3983.729,-0.009757411
3983.609,-0.009803251
3983.489,-0.00984209
3983.368,-0.009869525
3983.248,-0.009884845
3983.127,-0.009891387
3983.006,-0.009895727
3982.886,-0.009904472
3982.765,-0.009921378
3982.645,-0.009944825
3982.524,-0.00996759
3982.404,-0.009979927
3982.283,-0.009972026
3982.163,-0.009938574
3982.042,-0.009880602
3981.922,-0.009805583
3981.801,-0.009722808
3981.681,-0.009642415
3981.56,-0.009570856
3981.439,-0.009509787
3981.319,-0.009457756
3981.198,-0.009412365
3981.078,-0.009372709
3980.958,-0.009341028
3980.837,-0.009320661
3980.716,-0.009314824
3980.596,-0.009323061
3980.475,-0.00934093
3980.355,-0.009361166
3980.234,-0.009375692
3980.114,-0.009380264
3979.993,-0.009374979
3979.873,-0.009365867
3979.752,-0.009361262
3979.632,-0.009368202
3979.511,-0.009389571
3979.391,-0.009423065
3979.27,-0.009461258
3979.149,-0.0094952
3979.029,-0.009517438
3978.908,-0.009524991
3978.788,-0.009518864
3978.667,-0.009503823
3978.547,-0.009483594
3978.426,-0.009461679
3978.306,-0.009437817
3978.185,-0.009410257
3978.065,-0.00937686
3977.944,-0.009337428
3977.824,-0.009294002
3977.703,-0.009251351
3977.583,-0.009214698
3977.462,-0.009188487
3977.342,-0.009175153
3977.221,-0.009175348
3977.101,-0.009187936
3976.98,-0.009211713
3976.859,-0.009246713
3976.739,-0.009293289
3976.618,-0.009351826
3976.498,-0.009421638
3976.377,-0.009499057
3976.257,-0.009576527
3976.136,-0.009644846
3976.016,-0.00969342
3975.895,-0.009713542
3975.775,-0.00970165
3975.654,-0.009659331
3975.534,-0.009593997
3975.413,-0.009517243
3975.292,-0.009442356
3975.172,-0.009380524
3975.052,-0.009339308
3974.931,-0.009320272
3974.811,-0.009320467
3974.69,-0.009333601
3974.569,-0.009351728
3974.449,-0.009368656
3974.328,-0.009380167
3974.208,-0.009384545
3974.087,-0.009381821
3973.967,-0.009374233
3973.846,-0.009364181
3973.726,-0.009356041
3973.605,-0.009354971
3973.485,-0.009367229
3973.364,-0.009398131
3973.244,-0.009450559
3973.123,-0.009522495
3973.002,-0.009605827
3972.882,-0.009687426
3972.761,-0.00975187
3972.641,-0.009786406
3972.52,-0.009784624
3972.4,-0.009749797
3972.279,-0.009693193
3972.159,-0.009632499
3972.038,-0.00958489
3971.918,-0.009561359
3971.797,-0.009564891
3971.677,-0.009589362
3971.556,-0.009623586
3971.436,-0.009654437
3971.315,-0.009672358
3971.195,-0.009673751
3971.074,-0.0096604
3970.954,-0.009637813
3970.833,-0.009611628
3970.712,-0.009586478
3970.592,-0.009563693
3970.471,-0.009542299
3970.351,-0.009520225
3970.23,-0.009495946
3970.11,-0.009468293
3969.989,-0.009437364
3969.869,-0.009403967
3969.748,-0.009369661
3969.628,-0.009336325
3969.507,-0.009307429
3969.387,-0.009287257
3969.266,-0.009280737
3969.146,-0.009291895
3969.025,-0.009321926
3968.905,-0.009367326
3968.784,-0.009421282
3968.663,-0.009472604
3968.543,-0.009509139
3968.422,-0.009521068
3968.302,-0.009502591
3968.181,-0.00945406
3968.061,-0.009381821
3967.94,-0.009298414
3967.82,-0.009219467
3967.699,-0.00916075
3967.579,-0.009137196
3967.458,-0.009157635
3967.338,-0.009223619
3967.217,-0.009328055
3967.097,-0.009455486
3966.976,-0.009586154
3966.855,-0.009697761
3966.735,-0.00977309
3966.615,-0.009803348
3966.494,-0.009789451
3966.373,-0.009741406
3966.253,-0.009674885
3966.132,-0.00960641
3966.012,-0.009547
3965.891,-0.009502299
3965.771,-0.009471145
3965.65,-0.0094491
3965.53,-0.009431981
3965.409,-0.009417942
3965.289,-0.009408766
3965.168,-0.009407567
3965.048,-0.009417197
3964.927,-0.009436228
3964.806,-0.009459247
3964.686,-0.009477662
3964.565,-0.009482946
3964.445,-0.009469265
3964.324,-0.009436552
3964.204,-0.009389766
3964.083,-0.0093384
3963.963,-0.009292705
3963.842,-0.009260174
3963.722,-0.009244638
3963.601,-0.009245059
3963.481,-0.009256769
3963.36,-0.009272532
3963.24,-0.009285311
3963.119,-0.009288425
3962.999,-0.00927678
3962.878,-0.009248205
3962.758,-0.009202242
3962.637,-0.009142159
3962.516,-0.009075191
3962.396,-0.009011359
3962.275,-0.008963292
3962.155,-0.008943656
3962.034,-0.008960793
3961.914,-0.009016844
3961.793,-0.009106632
3961.673,-0.009215866
3961.552,-0.009324326
3961.432,-0.009412236
3961.311,-0.009460706
3961.191,-0.009459085
3961.07,-0.009406594
3960.949,-0.009312522
3960.829,-0.009194229
3960.708,-0.009072756
3960.588,-0.008969264
3960.468,-0.008899574
3960.347,-0.008871007
3960.226,-0.008880616
3960.106,-0.008916876
3959.985,-0.008964039
3959.865,-0.009003894
3959.744,-0.009022621
3959.624,-0.009014734
3959.503,-0.008983059
3959.383,-0.008937975
3959.262,-0.008894315
3959.142,-0.008866559
3959.021,-0.00886341
3958.901,-0.00888659
3958.78,-0.008929796
3958.659,-0.008982441
3958.539,-0.009033459
3958.418,-0.009075093
3958.298,-0.009105367
3958.177,-0.009127819
3958.057,-0.009148746
3957.936,-0.009172591
3957.816,-0.009199808
3957.695,-0.009224981
3957.575,-0.00923948
