03/04/2022 21:03,
20,
32,
,
wavenumber / cm-1,Absorbance
3999.881,0.004572562
3999.76,0.004569716
3999.639,0.004553409
3999.519,0.004529704
3999.398,0.004506535
3999.278,0.004491603
3999.157,0.004491637
3999.037,0.004510553
3998.916,0.004548856
3998.796,0.00460357
3998.675,0.004668406
3998.555,0.004735061
3998.434,0.004793216
3998.314,0.004833989
3998.193,0.00485101
3998.073,0.004841561
3997.952,0.004807588
3997.832,0.004755226
3997.711,0.004693559
3997.59,0.004631868
3997.47,0.004577819
3997.349,0.004535563
3997.229,0.004504828
3997.108,0.004481861
3996.988,0.004461206
3996.867,0.004436602
3996.747,0.004404802
3996.626,0.004364839
3996.506,0.004319458
3996.385,0.004273312
3996.265,0.004232423
3996.144,0.004201542
3996.024,0.004184647
3995.903,0.004184279
3995.782,0.004201107
3995.662,0.004235501
3995.542,0.004285793
3995.421,0.004349611
3995.3,0.004422476
3995.18,0.004497663
3995.059,0.004567673
3994.939,0.004624065
3994.818,0.004660334
3994.698,0.004673229
3994.577,0.00466365
3994.457,0.004636288
3994.336,0.004598346
3994.216,0.004558197
3994.095,0.00452197
3993.975,0.004493612
3993.854,0.00447396
3993.733,0.004460972
3993.613,0.004452
3993.492,0.004444401
3993.372,0.00443697
3993.251,0.004429305
3993.131,0.004422175
3993.01,0.004415882
3992.89,0.004409991
3992.769,0.004403229
3992.649,0.00439359
3992.528,0.004379666
3992.408,0.004362028
3992.287,0.004343018
3992.167,0.004328359
3992.046,0.004323808
3991.926,0.004334417
3991.805,0.004361894
3991.685,0.004403329
3991.564,0.004450326
3991.443,0.004491168
3991.323,0.004514135
3991.202,0.004511189
3991.082,0.004480623
3990.961,0.004428903
3990.841,0.00436765
3990.72,0.004312731
3990.6,0.004277294
3990.479,0.004269564
3990.359,0.004290611
3990.238,0.00433522
3990.118,0.004394727
3989.997,0.004459633
3989.876,0.004522237
3989.756,0.004576748
3989.635,0.004618371
3989.515,0.004642852
3989.395,0.004645498
3989.274,0.004622825
3989.153,0.004574504
3989.033,0.004507004
3988.912,0.004432986
3988.792,0.004369491
3988.671,0.004332877
3988.551,0.004332811
3988.43,0.004368085
3988.31,0.004425924
3988.189,0.004484975
3988.069,0.004523979
3987.948,0.004527092
3987.828,0.004490867
3987.707,0.00442415
3987.586,0.004345327
3987.466,0.004275453
3987.345,0.004230884
3987.225,0.004220211
3987.104,0.004242829
3986.984,0.004291883
3986.863,0.004357309
3986.743,0.004429539
3986.622,0.004500743
3986.502,0.004562717
3986.381,0.004607421
3986.261,0.004626107
3986.14,0.004610904
3986.02,0.004559336
3985.899,0.004477107
3985.779,0.004378796
3985.658,0.00428509
3985.538,0.0042173
3985.417,0.004191338
3985.296,0.004210709
3985.176,0.004266385
3985.055,0.004338935
3984.935,0.004406811
3984.814,0.004451464
3984.694,0.004463884
3984.573,0.004446377
3984.453,0.004408853
3984.332,0.004365006
3984.212,0.00432528
3984.091,0.004295297
3983.971,0.004274249
3983.85,0.004257819
3983.729,0.004241658
3983.609,0.004223457
3983.489,0.004205055
3983.368,0.004191706
3983.248,0.004189197
3983.127,0.004202278
3983.006,0.004232356
3982.886,0.004277461
3982.765,0.004333379
3982.645,0.004394092
3982.524,0.004454511
3982.404,0.004511758
3982.283,0.004564258
3982.163,0.00461298
3982.042,0.004658526
3981.922,0.004700727
3981.801,0.004736802
3981.681,0.004761658
3981.56,0.004767621
3981.439,0.004747689
3981.319,0.004698081
3981.198,0.004621184
3981.078,0.004525954
3980.958,0.004427899
3980.837,0.004345126
3980.716,0.004292987
3980.596,0.004280506
3980.475,0.004307109
3980.355,0.004364337
3980.234,0.004438075
3980.114,0.004513566
3979.993,0.004581369
3979.873,0.00463746
3979.752,0.004683511
3979.632,0.004723437
3979.511,0.004760117
3979.391,0.004792478
3979.27,0.004816198
3979.149,0.004824775
3979.029,0.00481392
3978.908,0.004782763
3978.788,0.004737037
3978.667,0.004684549
3978.547,0.004634011
3978.426,0.004591783
3978.306,0.004559102
3978.185,0.004533052
3978.065,0.004507808
3977.944,0.004478011
3977.824,0.004440183
3977.703,0.004393958
3977.583,0.004342616
3977.462,0.004290645
3977.342,0.004244301
3977.221,0.004208367
3977.101,0.004187859
3976.98,0.004185617
3976.859,0.00420288
3976.739,0.004238245
3976.618,0.00428663
3976.498,0.004341144
3976.377,0.004393054
3976.257,0.004434895
3976.136,0.004462512
3976.016,0.0044755
3975.895,0.004477911
3975.775,0.00447453
3975.654,0.004469709
3975.534,0.004464587
3975.413,0.004456653
3975.292,0.004441523
3975.172,0.004415513
3975.052,0.004378461
3974.931,0.004335454
3974.811,0.004295162
3974.69,0.004268192
3974.569,0.004263641
3974.449,0.004285893
3974.328,0.004333413
3974.208,0.004399782
3974.087,0.004475969
3973.967,0.004552706
3973.846,0.00462239
3973.726,0.004680765
3973.605,0.004725413
3973.485,0.004756298
3973.364,0.004773551
3973.244,0.004778207
3973.123,0.004771373
3973.002,0.004754389
3972.882,0.004729064
3972.761,0.004697244
3972.641,0.00466
3972.52,0.00461797
3972.4,0.004571591
3972.279,0.004521802
3972.159,0.004470312
3972.038,0.004420266
3971.918,0.004375081
3971.797,0.004338466
3971.677,0.004312062
3971.556,0.004295162
3971.436,0.004284789
3971.315,0.004276055
3971.195,0.004264511
3971.074,0.004246543
3970.954,0.004220981
3970.833,0.004188294
3970.712,0.004150826
3970.592,0.004111755
3970.471,0.00407426
3970.351,0.004041751
3970.23,0.004016435
3970.11,0.004000684
3969.989,0.003995468
3969.869,0.00400035
3969.748,0.004012991
3969.628,0.004030548
3969.507,0.004048909
3969.387,0.004065732
3969.266,0.004079946
3969.146,0.004093225
3969.025,0.004108444
3968.905,0.004128313
3968.784,0.004153669
3968.663,0.004182539
3968.543,0.004210141
3968.422,0.004231353
3968.302,0.004241491
3968.181,0.004239717
3968.061,0.00422881
3967.94,0.004215125
3967.82,0.004206628
3967.699,0.004209371
3967.579,0.004226769
3967.458,0.004257317
3967.338,0.004296568
3967.217,0.004337228
3967.097,0.004373441
3966.976,0.004400819
3966.855,0.004418459
3966.735,0.004427832
3966.615,0.004432552
3966.494,0.004436099
3966.373,0.004439581
3966.253,0.004442426
3966.132,0.004440117
3966.012,0.004427263
3965.891,0.004397941
3965.771,0.004348373
3965.65,0.004279301
3965.53,0.004196256
3965.409,0.004109949
3965.289,0.004031986
3965.168,0.003974501
3965.048,0.003944341
3964.927,0.003942502
3964.806,0.003962731
3964.686,0.003993963
3964.565,0.004023826
3964.445,0.004042588
3964.324,0.004044561
3964.204,0.004031184
3964.083,0.004008376
3963.963,0.003983663
3963.842,0.003964303
3963.722,0.003954873
3963.601,0.00395611
3963.481,0.003966977
3963.36,0.003985034
3963.24,0.004007774
3963.119,0.004033157
3962.999,0.00405824
3962.878,0.004079144
3962.758,0.00409085
3962.637,0.004087505
3962.516,0.004065196
3962.396,0.004023224
3962.275,0.003966643
3962.155,0.003904653
3962.034,0.003849358
3961.914,0.003812187
3961.793,0.003798883
3961.673,0.003808644
3961.552,0.003832878
3961.432,0.003858819
3961.311,0.003872057
3961.191,0.003861059
3961.07,0.003821413
3960.949,0.003755533
3960.829,0.00367319
3960.708,0.003587254
3960.588,0.00351209
3960.468,0.003459016
3960.347,0.003434969
3960.226,0.003440547
3960.106,0.003470605
3959.985,0.003516165
3959.865,0.003565238
3959.744,0.0036074
3959.624,0.003634964
3959.503,0.003645656
3959.383,0.003643752
3959.262,0.003637503
3959.142,0.003639608
3959.021,0.00366086
