03/04/2022 21:28,
280.1,
32,
,
wavenumber / cm-1,Absorbance
3999.881,0.003482763
3999.76,0.003491247
3999.639,0.003484166
3999.519,0.003470238
3999.398,0.003460819
3999.278,0.003465161
3999.157,0.003489143
3999.037,0.003533101
3998.916,0.003592398
3998.796,0.003658755
3998.675,0.003722179
3998.555,0.003773916
3998.434,0.003806638
3998.314,0.003816532
3998.193,0.003803429
3998.073,0.003770807
3997.952,0.003725421
3997.832,0.003676063
3997.711,0.003632592
3997.59,0.003602789
3997.47,0.003591129
3997.349,0.003596809
3997.229,0.003614048
3997.108,0.003634563
3996.988,0.003649566
3996.867,0.003652807
3996.747,0.003643718
3996.626,0.003625709
3996.506,0.003605696
3996.385,0.003590595
3996.265,0.003585015
3996.144,0.003589258
3996.024,0.00360035
3995.903,0.003613113
3995.782,0.003623203
3995.662,0.003628616
3995.542,0.003629184
3995.421,0.003626644
3995.3,0.003622301
3995.18,0.003615786
3995.059,0.003606063
3994.939,0.003592031
3994.818,0.003575093
3994.698,0.003559959
3994.577,0.003554581
3994.457,0.003567142
3994.336,0.00360172
3994.216,0.003656282
3994.095,0.003720341
3993.975,0.003778795
3993.854,0.003813892
3993.733,0.003812989
3993.613,0.003772211
3993.492,0.003698419
3993.372,0.003606464
3993.251,0.003514729
3993.131,0.003439945
3993.01,0.003390453
3992.89,0.003366344
3992.769,0.003359264
3992.649,0.003357862
3992.528,0.003351751
3992.408,0.003335925
3992.287,0.003311284
3992.167,0.003284942
3992.046,0.003265311
3991.926,0.003259403
3991.805,0.003269885
3991.685,0.003294924
3991.564,0.003327911
3991.443,0.003361235
3991.323,0.003387949
3991.202,0.003404879
3991.082,0.003412026
3990.961,0.003413495
3990.841,0.003414397
3990.72,0.003420976
3990.6,0.003437942
3990.479,0.003467432
3990.359,0.003509318
3990.238,0.003560427
3990.118,0.003615585
3989.997,0.003667542
3989.876,0.003708077
3989.756,0.003729398
3989.635,0.003724619
3989.515,0.003690967
3989.395,0.003629852
3989.274,0.003548367
3989.153,0.003458114
3989.033,0.003374391
3988.912,0.00331282
3988.792,0.003284942
3988.671,0.003295325
3988.551,0.003339898
3988.43,0.003406616
3988.31,0.003478287
3988.189,0.003537243
3988.069,0.003571151
3987.948,0.003575928
3987.828,0.003557721
3987.707,0.003529026
3987.586,0.003506445
3987.466,0.003504441
3987.345,0.003529694
3987.225,0.003581073
3987.104,0.003650133
3986.984,0.003724218
3986.863,0.003790527
3986.743,0.003840299
3986.622,0.003869216
3986.502,0.003877005
3986.381,0.003865204
3986.261,0.003835318
3986.14,0.003788488
3986.02,0.003725822
3985.899,0.003651002
3985.779,0.003571151
3985.658,0.003497059
3985.538,0.003440446
3985.417,0.003411225
3985.296,0.003412861
3985.176,0.003440313
3985.055,0.003481327
3984.935,0.003520775
3984.814,0.003543958
3984.694,0.00354349
3984.573,0.003520641
3984.453,0.003484066
3984.332,0.003447093
3984.212,0.00342111
3984.091,0.003412327
3983.971,0.003419306
3983.85,0.003434101
3983.729,0.003445924
3983.609,0.003444955
3983.489,0.003426386
3983.368,0.003391355
3983.248,0.003346209
3983.127,0.003299832
3983.006,0.003261472
3982.886,0.00323737
3982.765,0.003230894
3982.645,0.003242144
3982.524,0.003269351
3982.404,0.003310549
3982.283,0.003362671
3982.163,0.003422646
3982.042,0.003486805
3981.922,0.003549503
3981.801,0.003603725
3981.681,0.003641814
3981.56,0.003655914
3981.439,0.003640377
3981.319,0.003593334
3981.198,0.003518303
3981.078,0.003423447
3980.958,0.003322703
3980.837,0.003232096
3980.716,0.003166306
3980.596,0.003136501
3980.475,0.003146948
3980.355,0.003194376
3980.234,0.003268884
3980.114,0.00335686
3979.993,0.003445189
3979.873,0.003523314
3979.752,0.003585449
3979.632,0.003630186
3979.511,0.003658755
3979.391,0.003672588
3979.27,0.003672622
3979.149,0.003658353
3979.029,0.003630186
3978.908,0.003589525
3978.788,0.00354182
3978.667,0.003493285
3978.547,0.003451535
3978.426,0.003421811
3978.306,0.00340528
3978.185,0.00339977
3978.065,0.003400304
3977.944,0.003402408
3977.824,0.003403343
3977.703,0.00340331
3977.583,0.003403978
3977.462,0.003406449
3977.342,0.003409655
3977.221,0.003409521
3977.101,0.003400805
3976.98,0.0033797
3976.859,0.00334681
3976.739,0.003308146
3976.618,0.003273691
3976.498,0.003253427
3976.377,0.003254161
3976.257,0.003276328
3976.136,0.003313354
3976.016,0.003354723
3975.895,0.003389284
3975.775,0.003409321
3975.654,0.003412727
3975.534,0.003402008
3975.413,0.003381838
3975.292,0.003357161
3975.172,0.00333105
3975.052,0.003305174
3974.931,0.003281971
3974.811,0.003265979
3974.69,0.003264644
3974.569,0.003286711
3974.449,0.003338429
3974.328,0.003420475
3974.208,0.003525418
3974.087,0.003639542
3973.967,0.003745106
3973.846,0.003826025
3973.726,0.003872626
3973.605,0.00388309
3973.485,0.003864368
3973.364,0.003827296
3973.244,0.003784411
3973.123,0.003745707
3973.002,0.003716097
3972.882,0.003696915
3972.761,0.003686322
3972.641,0.003680875
3972.52,0.003676765
3972.4,0.003671018
3972.279,0.003661494
3972.159,0.003646659
3972.038,0.003626678
3971.918,0.003603557
3971.797,0.003580839
3971.677,0.0035633
3971.556,0.003554547
3971.436,0.003555884
3971.315,0.003564904
3971.195,0.003575694
3971.074,0.003580605
3970.954,0.003573155
3970.833,0.003549537
3970.712,0.003511021
3970.592,0.00346269
3970.471,0.003412026
3970.351,0.003366711
3970.23,0.003332218
3970.11,0.003311284
3969.989,0.003303438
3969.869,0.003306777
3969.748,0.003317928
3969.628,0.003333688
3969.507,0.003350449
3969.387,0.003364674
3969.266,0.003372788
3969.146,0.003372588
3969.025,0.003363505
3968.905,0.003347277
3968.784,0.003328212
3968.663,0.003311518
3968.543,0.003301435
3968.422,0.0033004
3968.302,0.003307611
3968.181,0.003319965
3968.061,0.003333621
3967.94,0.003345474
3967.82,0.00335469
3967.699,0.003362303
3967.579,0.003370484
3967.458,0.003381003
3967.338,0.003393993
3967.217,0.003407718
3967.097,0.003420008
3966.976,0.003429125
3966.855,0.003435036
3966.735,0.003439678
3966.615,0.003445957
3966.494,0.003456745
3966.373,0.003471941
3966.253,0.003489377
3966.132,0.003504007
3966.012,0.003510587
3965.891,0.003505076
3965.771,0.003485803
3965.65,0.003454207
3965.53,0.003413663
3965.409,0.003368581
3965.289,0.003322102
3965.168,0.003276462
3965.048,0.003231895
3964.927,0.003188468
3964.806,0.003146447
3964.686,0.003107767
3964.565,0.003075064
3964.445,0.003052674
3964.324,0.003043431
3964.204,0.003049604
3964.083,0.003070459
3963.963,0.003103028
3963.842,0.003143276
3963.722,0.003186299
3963.601,0.003228023
3963.481,0.003266947
3963.36,0.003303939
3963.24,0.0033413
3963.119,0.003381871
3962.999,0.003426921
3962.878,0.003474814
3962.758,0.003520207
3962.637,0.003554648
3962.516,0.003569313
3962.396,0.00355722
3962.275,0.003516299
3962.155,0.0034508
3962.034,0.003371219
3961.914,0.003292788
3961.793,0.003229759
3961.673,0.003193842
3961.552,0.003189837
3961.432,0.003215038
3961.311,0.003260471
3961.191,0.003313154
3961.07,0.003361468
3960.949,0.003396464
3960.829,0.003414831
3960.708,0.003418538
3960.588,0.003413262
3960.468,0.003405781
3960.347,0.003400906
3960.226,0.003399904
3960.106,0.003400338
3959.985,0.003396631
3959.865,0.003382205
3959.744,0.003353789
3959.624,0.003311384
3959.503,0.003260805
3959.383,0.003212067
3959.262,0.003175484
3959.142,0.003160865
3959.021,0.00317188
3958.901,0.003206927
3958.78,0.0032577
3958.659,0.003313254
3958.539,0.00336217
