23/03/2022 15:11,
119.9,
33,
,
wavenumber / cm-1,Absorbance
3999.881,0.000686583
3999.76,0.000695975
3999.639,0.000679614
3999.519,0.000643277
3999.398,0.000595993
3999.278,0.000545762
3999.157,0.000499352
3999.037,0.000460642
3998.916,0.000433543
3998.796,0.000421902
3998.675,0.000429895
3998.555,0.00045958
3998.434,0.000508906
3998.314,0.000569749
3998.193,0.000630767
3998.073,0.000678054
3997.952,0.00070165
3997.832,0.000698198
3997.711,0.000670985
3997.59,0.000628411
3997.47,0.000580167
3997.349,0.000533454
3997.229,0.000491822
3997.108,0.000455899
3996.988,0.000426048
3996.867,0.000404191
3996.747,0.000394673
3996.626,0.000402003
3996.506,0.000427109
3996.385,0.000466181
3996.265,0.000509204
3996.144,0.00054407
3996.024,0.000560393
3995.903,0.000553758
3995.782,0.000527383
3995.662,0.00049086
3995.542,0.00045623
3995.421,0.000432316
3995.3,0.000422366
3995.18,0.000423626
3995.059,0.000428767
3994.939,0.000430127
3994.818,0.000422764
3994.698,0.000405551
3994.577,0.000381607
3994.457,0.000356868
3994.336,0.000337436
3994.216,0.000329577
3994.095,0.000337966
3993.975,0.000365357
3993.854,0.000411919
3993.733,0.000474241
3993.613,0.000544502
3993.492,0.000611521
3993.372,0.000663486
3993.251,0.000691129
3993.131,0.00069093
3993.01,0.000665974
3992.89,0.000625358
3992.769,0.000580532
3992.649,0.000540355
3992.528,0.000508972
3992.408,0.000484955
3992.287,0.000464191
3992.167,0.000442631
3992.046,0.000419912
3991.926,0.00040061
3991.805,0.000391821
3991.685,0.000400411
3991.564,0.000429596
3991.443,0.000476895
3991.323,0.000535213
3991.202,0.00059606
3991.082,0.000651108
3990.961,0.000694979
3990.841,0.000726309
3990.72,0.000745128
3990.6,0.000752728
3990.479,0.000750505
3990.359,0.000740381
3990.238,0.00072528
3990.118,0.000710179
3989.997,0.000700123
3989.876,0.000699028
3989.756,0.000706893
3989.635,0.000719671
3989.515,0.000730092
3989.395,0.000731287
3989.274,0.000720633
3989.153,0.000701484
3989.033,0.000683463
3988.912,0.000678519
3988.792,0.000695245
3988.671,0.000735137
3988.551,0.000790071
3988.43,0.000845409
3988.31,0.000882991
3988.189,0.000887905
3988.069,0.000854605
3987.948,0.000786187
3987.828,0.000695444
3987.707,0.000598482
3987.586,0.000512555
3987.466,0.000450724
3987.345,0.000419414
3987.225,0.000418851
3987.104,0.000442698
