23/03/2022 14:58,
69.9,
33,
,
wavenumber / cm-1,Absorbance
3999.881,0.001209252
3999.76,0.001277737
3999.639,0.001306384
3999.519,0.001298142
3999.398,0.001262185
3999.278,0.001208654
3999.157,0.00114719
3999.037,0.00108477
3998.916,0.00102794
3998.796,0.000983305
3998.675,0.000958465
3998.555,0.000959063
3998.434,0.000987124
3998.314,0.001037738
3998.193,0.001100482
3998.073,0.001160312
3997.952,0.001203936
3997.832,0.001223473
3997.711,0.001218024
3997.59,0.001192905
3997.47,0.001156193
3997.349,0.001114102
3997.229,0.001068428
3997.108,0.001017047
3996.988,0.000956273
3996.867,0.00088505
3996.747,0.000807963
3996.626,0.000734905
3996.506,0.000677954
3996.385,0.000647789
3996.265,0.000648619
3996.144,0.000677191
3996.024,0.000723023
3995.903,0.000771947
3995.782,0.000811149
3995.662,0.000831798
3995.542,0.000831565
3995.421,0.000814137
3995.3,0.000787581
3995.18,0.000762122
3995.059,0.000745626
3994.939,0.0007439
3994.818,0.000758205
3994.698,0.000784892
3994.577,0.000816726
3994.457,0.000846206
3994.336,0.000866657
3994.216,0.000875787
3994.095,0.000876185
3993.975,0.00087416
3993.854,0.000877879
3993.733,0.000892985
3993.613,0.000919847
3993.492,0.000953119
3993.372,0.000983703
3993.251,0.001002334
3993.131,0.001003596
3993.01,0.000988784
3992.89,0.000964974
3992.769,0.00094319
3992.649,0.0009319
3992.528,0.000935951
3992.408,0.000953185
3992.287,0.000977659
3992.167,0.001001537
3992.046,0.00101977
3991.926,0.00103176
3991.805,0.001040926
3991.685,0.001052385
3991.564,0.001069956
3991.443,0.00109344
3991.323,0.001118288
3991.202,0.001138286
3991.082,0.001146359
3990.961,0.001138386
3990.841,0.001115331
3990.72,0.00108208
3990.6,0.001047303
3990.479,0.001021264
3990.359,0.001014556
3990.238,0.001034782
3990.118,0.001086564
3989.997,0.001167588
3989.876,0.001270194
3989.756,0.001380236
3989.635,0.0014796
3989.515,0.00155112
3989.395,0.001582578
3989.274,0.001569908
3989.153,0.001518833
3989.033,0.00144293
3988.912,0.00135986
3988.792,0.001284483
3988.671,0.001226231
3988.551,0.001187091
3988.43,0.001162206
3988.31,0.001143269
3988.189,0.001122141
3988.069,0.00109447
3987.948,0.001059427
3987.828,0.001020434
3987.707,0.000982308
3987.586,0.000951226
3987.466,0.000932597
3987.345,0.00093014
3987.225,0.000945946
3987.104,0.000978523
3986.984,0.001022593
3986.863,0.001068561
3986.743,0.001104734
3986.622,0.001120048
3986.502,0.001107558
3986.381,0.001067863
3986.261,0.001009972
3986.14,0.000949167
3986.02,0.000902348
3985.899,0.000882128
3985.779,0.000893649
3985.658,0.000932431
3985.538,0.000985463
3985.417,0.001035679
3985.296,0.001066967
3985.176,0.00106793
3985.055,0.001033354
3984.935,0.00096494
3984.814,0.000869645
3984.694,0.000758803
3984.573,0.00064467
3984.453,0.000540521
3984.332,0.000458254
3984.212,0.000406911
3984.091,0.000391158
3983.971,0.000410526
3983.85,0.000460476
3983.729,0.000532758
3983.609,0.00061829
3983.489,0.000709714
3983.368,0.000800593
3983.248,0.000885249
3983.127,0.000958797
3983.006,0.001014556
3982.886,0.001046473
3982.765,0.001050492
3982.645,0.001027774
3982.524,0.000985928
3982.404,0.000938109
3982.283,0.000900854
3982.163,0.000886478
3982.042,0.000900356
3981.922,0.000936947
3981.801,0.000982773
3981.681,0.001020102
3981.56,0.001033321
3981.439,0.001013858
3981.319,0.000962749
3981.198,0.000888968
3981.078,0.000804942
3980.958,0.000723222
3980.837,0.000653895
3980.716,0.000601634
3980.596,0.00056945
3980.475,0.000557673
3980.355,0.000566199
3980.234,0.000593306
3980.114,0.000635678
3979.993,0.000686981
3979.873,0.000739153
3979.752,0.000783465
3979.632,0.00081427
3979.511,0.000828843
3979.391,0.000829839
3979.27,0.000821374
3979.149,0.000808593
3979.029,0.00079412
3978.908,0.000778154
3978.788,0.000758736
3978.667,0.000734507
3978.547,0.000705334
3978.426,0.000674105
3978.306,0.000645234
3978.185,0.000623865
3978.065,0.000613711
3977.944,0.000617527
3977.824,0.000635844
3977.703,0.00066843
3977.583,0.000713962
3977.462,0.000770055
3977.342,0.000831665
3977.221,0.000892587
3977.101,0.000944053
3976.98,0.000978954
3976.859,0.0009935
3976.739,0.000989249
3976.618,0.000973707
3976.498,0.000956738
3976.377,0.000947739
3976.257,0.000950296
3976.136,0.000962118
3976.016,0.000974239
3975.895,0.000976331
3975.775,0.000961288
3975.654,0.000927982
3975.534,0.000882925
3975.413,0.000836811
3975.292,0.000802519
3975.172,0.000789075
3975.052,0.00080066
3974.931,0.00083608
3974.811,0.000890495
3974.69,0.000957369
3974.569,0.001029102
3974.449,0.001096994
3974.328,0.00115194
