23/03/2022 14:24,
,
Valve temp / oC,Pressure sensor / ADC value
26,545
27,545
30,545
31,545
31,545
31,545
31,545
30,545
30,545
30,545
30,545
30,545
30,545
30,544
30,545
30,544
30,545
30,545
30,545
30,545
30,545
30,545
30,545
30,545
30,545
30,545
29,545
30,545
30,545
30,545
30,545
31,545
33,545
34,545
36,545
38,545
40,545
40,545
39,545
40,545
39,545
40,545
40,545
40,545
40,545
40,545
40,545
39,545
39,545
40,545
40,545
40,545
40,545
40,545
40,545
40,545
40,545
39,545
40,545
40,545
43,545
45,545
47,545
48,545
50,545
50,545
50,545
50,545
49,545
49,545
50,545
50,545
50,545
49,545
50,545
50,545
50,545
50,545
50,545
50,545
49,545
50,545
49,545
50,545
50,545
49,545
49,545
50,545
50,545
51,545
53,545
53,545
55,545
56,545
57,546
58,547
60,553
60,556
60,557
59,557
60,558
60,559
60,560
60,560
59,561
60,561
59,561
59,562
60,563
59,564
60,565
59,565
59,566
60,567
60,567
59,568
59,568
61,592
62,630
64,793
65,928
66,1102
67,1322
69,1909
69,2267
69,2851
70,3320
69,3678
70,3929
69,4288
69,4463
69,4864
70,5216
70,5447
70,5808
69,6171
69,6288
70,6491
69,6864
70,7256
69,7383
69,7558
70,7795
70,8114
70,8310
69,8582
70,8794
70,9083
72,9923
74,11041
75,11678
76,12353
78,13790
79,14521
79,15897
79,16832
79,17631
79,18257
80,18598
79,18826
79,19341
80,19577
79,19912
79,20248
79,20491
80,20636
79,20791
80,20961
79,21058
79,21123
79,21220
80,21322
79,21341
80,21425
79,21434
81,21467
81,21504
84,21572
86,21603
87,21628
89,21671
90,21687
91,21716
89,21715
89,21723
90,21746
89,21741
89,21767
88,21757
89,21769
89,21795
89,21784
89,21788
90,21808
89,21800
90,21805
90,21823
89,21811
90,21819
89,21828
90,21848
89,21838
89,21858
89,21845
90,21865
